PROC_COD,TYPE_OUTPAT
96.54.1,PROC
96.54.2,PROC
96.54.3,PROC
96.57,PROC
96.59,PROC
97.29.1,PROC
97.35,PROC
97.71,PROC
13.1,PROC
13.64,PROC
13.7,PROC
13.71,PROC
13.72,PROC
13.72.1,PROC
14.22,PROC
14.24.1,PROC
14.24.2,PROC
14.24.3,PROC
14.29.1,PROC
14.31,PROC
14.32,PROC
14.33,PROC
14.34,PROC
14.4,PROC
14.59.1,PROC
14.79.1,PROC
8.82,PROC
8.83,PROC
8.84,PROC
8.91,PROC
8.92,PROC
08.99.1,PROC
9,PROC
9.11,PROC
9.12,PROC
9.21,PROC
9.41,PROC
9.42,PROC
9.43,PROC
9.51,PROC
9.52,PROC
9.53,PROC
9.59,PROC
12.64.1,PROC
12.64.2,PROC
12.66,PROC
12.69,PROC
12.7,PROC
12.89.1,PROC
12.89.2,PROC
12.91,PROC
86.30.3,PROC
86.30.4,PROC
86.4,PROC
86.59.1,PROC
86.59.2,PROC
86.59.3,PROC
86.6,PROC
86.61,PROC
86.62,PROC
86.71,PROC
86.72,PROC
86.73,PROC
86.74,PROC
86.75,PROC
86.81,PROC
86.84,PROC
93.56.3,PROC
93.56.4,PROC
93.56.5,PROC
93.56.6,PROC
93.56.7,PROC
93.57.1,PROC
93.91,PROC
93.95,PROC
93.54.2,PROC
93.54.3,PROC
93.54.4,PROC
93.54.5,PROC
93.54.6,PROC
93.54.7,PROC
93.54.8,PROC
93.56.1,PROC
93.56.2,PROC
10.33,PROC
10.4,PROC
10.6,PROC
10.91,PROC
11.31,PROC
11.32,PROC
11.39,PROC
11.42,PROC
11.43,PROC
11.6,PROC
11.62.1,PROC
11.62.2,PROC
11.75.1,PROC
11.91,PROC
11.99.1,PROC
11.99.2,PROC
11.99.3,PROC
11.99.4,PROC
11.99.5,PROC
12.14,PROC
12.4,PROC
12.41,PROC
12.5,PROC
12.59,PROC
3.8,PROC
3.91,PROC
3.92,PROC
04.07.1,PROC
04.11.1,PROC
4.43,PROC
4.44,PROC
04.81.1,PROC
04.81.2,PROC
5.31,PROC
5.32,PROC
6.01,PROC
06.11.1,PROC
06.11.2,PROC
6.13,PROC
8.01,PROC
8.02,PROC
8.09,PROC
8.11,PROC
8.21,PROC
8.22,PROC
8.23,PROC
8.24,PROC
8.25,PROC
8.41,PROC
8.42,PROC
8.43,PROC
8.44,PROC
8.52,PROC
8.6,PROC
8.81,PROC
79.03,PROC
79.04,PROC
79.07,PROC
79.08,PROC
79.7,PROC
79.71,PROC
79.72,PROC
79.73,PROC
79.74,PROC
80.3,PROC
81.91,PROC
81.92,PROC
82.91,PROC
83.02,PROC
83.03,PROC
83.09,PROC
83.21,PROC
83.21.1,PROC
83.31,PROC
83.98,PROC
85,PROC
85.11,PROC
85.11.1,PROC
85.2,PROC
85.21,PROC
85.21.1,PROC
85.53,PROC
85.94,PROC
86.01,PROC
86.02.1,PROC
86.02.2,PROC
86.03,PROC
86.04,PROC
86.05.1,PROC
86.11,PROC
86.22,PROC
86.23,PROC
86.24,PROC
86.25,PROC
86.27,PROC
86.28,PROC
86.30.1,PROC
86.30.2,PROC
9.6,PROC
9.71,PROC
9.73,PROC
10.21,PROC
10.31,PROC
10.32,PROC
93.51,PROC
93.52,PROC
93.53,PROC
93.54.1,PROC
41.31,PROC
42.29.1,PROC
89.62,PROC
69.92.2,PROC
69.92.3,PROC
69.92.4,PROC
70.11.1,PROC
70.21,PROC
70.24,PROC
70.29.1,PROC
70.33.1,PROC
71.11,PROC
71.22,PROC
71.30.1,PROC
71.90.1,PROC
75.10.1,PROC
75.10.2,PROC
75.10.3,PROC
75.33.1,PROC
75.8,PROC
76.01,PROC
76.2,PROC
76.77,PROC
76.92.1,PROC
76.93,PROC
76.96,PROC
77.56,PROC
78.7,PROC
79,PROC
79.01,PROC
79.02,PROC
68.16.1,PROC
68.2,PROC
68.29.1,PROC
69.09,PROC
69.7,PROC
69.92,PROC
24.70.3,PROC
24.70.4,PROC
24.80.1,PROC
25.01,PROC
25.91,PROC
25.92,PROC
26,PROC
26.11,PROC
26.91,PROC
27.21,PROC
27.23,PROC
27.24,PROC
27.41,PROC
27.49.1,PROC
27.51,PROC
27.52,PROC
27.71,PROC
27.91,PROC
28.00.1,PROC
29.12,PROC
34.24,PROC
34.91,PROC
34.91.1,PROC
34.92,PROC
38.59.1,PROC
38.89,PROC
38.93,PROC
38.94,PROC
38.95,PROC
38.98,PROC
38.99.1,PROC
38.99.2,PROC
39.27.1,PROC
39.4,PROC
39.43,PROC
39.92,PROC
39.95.1,PROC
39.95.2,PROC
39.95.3,PROC
39.95.4,PROC
39.95.5,PROC
39.95.6,PROC
39.95.7,PROC
39.95.8,PROC
39.95.9,PROC
39.99.1,PROC
40.11,PROC
40.19.1,PROC
40.19.2,PROC
49.11,PROC
49.23,PROC
49.39,PROC
49.42,PROC
49.45,PROC
49.46,PROC
49.47,PROC
49.59,PROC
50.11,PROC
50.19.1,PROC
50.91,PROC
51.12,PROC
54.21,PROC
54.22,PROC
54.24,PROC
54.24.1,PROC
54.91,PROC
54.91.1,PROC
54.93,PROC
54.97,PROC
54.98.1,PROC
54.98.2,PROC
55.92,PROC
57.17,PROC
57.49.1,PROC
57.94,PROC
58.23,PROC
58.31,PROC
58.47,PROC
58.5,PROC
58.60.1,PROC
58.60.2,PROC
58.60.3,PROC
59.8,PROC
60,PROC
60.11,PROC
60.11.1,PROC
60.13,PROC
60.91,PROC
61,PROC
61.91,PROC
62.11,PROC
63.52,PROC
63.71,PROC
64,PROC
64.11,PROC
64.2,PROC
64.92.1,PROC
64.93,PROC
65.91,PROC
66.8,PROC
67.12,PROC
67.19.1,PROC
67.32,PROC
67.33,PROC
88.73.6,PROC
88.73.7,PROC
24.70.2,PROC
89.23,PROC
49.01,PROC
49.02,PROC
